pid,arrival,priority,burst_index,burst_type,duration
1,0,5,1,CPU,4
1,0,5,2,IO,25
1,0,5,3,CPU,2
1,0,5,4,IO,19
1,0,5,5,CPU,2
1,0,5,6,IO,15
1,0,5,7,CPU,1
1,0,5,8,IO,10
1,0,5,9,CPU,5
1,0,5,10,IO,13
1,0,5,11,CPU,1
1,0,5,12,IO,18
1,0,5,13,CPU,3
2,3,9,1,CPU,4
2,3,9,2,IO,30
2,3,9,3,CPU,2
2,3,9,4,IO,24
2,3,9,5,CPU,2
2,3,9,6,IO,27
2,3,9,7,CPU,2
2,3,9,8,IO,25
2,3,9,9,CPU,5
2,3,9,10,IO,10
2,3,9,11,CPU,2
2,3,9,12,IO,13
2,3,9,13,CPU,3
2,3,9,14,IO,27
2,3,9,15,CPU,1
3,6,4,1,CPU,4
3,6,4,2,IO,22
3,6,4,3,CPU,5
3,6,4,4,IO,15
3,6,4,5,CPU,5
3,6,4,6,IO,12
3,6,4,7,CPU,2
3,6,4,8,IO,20
3,6,4,9,CPU,4
3,6,4,10,IO,19
3,6,4,11,CPU,1
3,6,4,12,IO,27
3,6,4,13,CPU,1
3,6,4,14,IO,13
3,6,4,15,CPU,5
4,8,8,1,CPU,5
4,8,8,2,IO,25
4,8,8,3,CPU,5
4,8,8,4,IO,19
4,8,8,5,CPU,5
4,8,8,6,IO,11
4,8,8,7,CPU,5
4,8,8,8,IO,15
4,8,8,9,CPU,5
4,8,8,10,IO,10
4,8,8,11,CPU,5
4,8,8,12,IO,17
4,8,8,13,CPU,5
5,11,4,1,CPU,2
5,11,4,2,IO,13
5,11,4,3,CPU,5
5,11,4,4,IO,10
5,11,4,5,CPU,3
5,11,4,6,IO,20
5,11,4,7,CPU,4
5,11,4,8,IO,19
5,11,4,9,CPU,1
5,11,4,10,IO,16
5,11,4,11,CPU,5
5,11,4,12,IO,21
5,11,4,13,CPU,3
6,13,7,1,CPU,5
6,13,7,2,IO,30
6,13,7,3,CPU,1
6,13,7,4,IO,15
6,13,7,5,CPU,1
6,13,7,6,IO,22
6,13,7,7,CPU,2
6,13,7,8,IO,13
6,13,7,9,CPU,3
7,14,5,1,CPU,5
7,14,5,2,IO,30
7,14,5,3,CPU,2
7,14,5,4,IO,22
7,14,5,5,CPU,5
7,14,5,6,IO,21
7,14,5,7,CPU,1
7,14,5,8,IO,16
7,14,5,9,CPU,5
8,16,2,1,CPU,1
8,16,2,2,IO,15
8,16,2,3,CPU,2
8,16,2,4,IO,20
8,16,2,5,CPU,3
