scenario,algorithm,metric,mean_100,ic95_margin_100,mean_1000,ic95_margin_1000,error_reduction_pct
equilibrado,fcfs,mean_turnaround,26112.68,164.04,26012.90,52.30,68.1%
equilibrado,fcfs,context_switches,3504.90,13.39,3495.85,4.26,68.2%
equilibrado,fcfs,jain_slowdown_pct,70.91,0.37,70.79,0.12,67.0%
equilibrado,rr,mean_turnaround,33817.33,193.18,33723.02,61.97,67.9%
equilibrado,rr,context_switches,12260.90,47.72,12238.93,15.48,67.6%
equilibrado,rr,jain_slowdown_pct,81.21,0.11,81.18,0.04,67.3%
equilibrado,prioridade,mean_turnaround,23189.83,106.57,23192.87,36.29,65.9%
equilibrado,prioridade,context_switches,3504.90,13.39,3495.85,4.26,68.2%
equilibrado,prioridade,jain_slowdown_pct,31.11,0.24,31.24,0.09,64.4%
equilibrado,proprio,mean_turnaround,26112.71,163.54,26014.19,52.31,68.0%
equilibrado,proprio,context_switches,3504.90,13.39,3495.85,4.26,68.2%
equilibrado,proprio,jain_slowdown_pct,71.00,0.38,70.84,0.12,67.0%
equilibrado,sjf,mean_turnaround,24841.71,140.64,24764.33,46.17,67.2%
equilibrado,sjf,context_switches,3504.07,13.37,3495.04,4.26,68.2%
equilibrado,sjf,jain_slowdown_pct,59.51,0.38,59.42,0.12,68.6%
io_bound,fcfs,mean_turnaround,32268.65,46.66,32271.82,16.69,64.2%
io_bound,fcfs,context_switches,6498.87,6.80,6498.24,2.23,67.2%
io_bound,fcfs,jain_slowdown_pct,97.66,0.02,97.66,0.01,68.3%
io_bound,rr,mean_turnaround,35607.17,52.30,35593.93,19.20,63.3%
io_bound,rr,context_switches,10212.15,11.64,10212.93,4.23,63.7%
io_bound,rr,jain_slowdown_pct,97.32,0.03,97.34,0.01,67.7%
io_bound,prioridade,mean_turnaround,20120.75,30.27,20114.31,10.31,65.9%
io_bound,prioridade,context_switches,6498.87,6.80,6498.24,2.23,67.2%
io_bound,prioridade,jain_slowdown_pct,72.38,0.08,72.40,0.03,66.1%
io_bound,proprio,mean_turnaround,32268.25,46.59,32270.54,16.70,64.2%
io_bound,proprio,context_switches,6498.87,6.80,6498.24,2.23,67.2%
io_bound,proprio,jain_slowdown_pct,97.65,0.02,97.65,0.01,68.3%
io_bound,sjf,mean_turnaround,18868.35,26.82,18863.01,9.86,63.2%
io_bound,sjf,context_switches,6489.86,6.90,6489.28,2.24,67.6%
io_bound,sjf,jain_slowdown_pct,71.31,0.09,71.29,0.03,69.7%
cpu_bound,fcfs,mean_turnaround,49180.78,231.36,49181.23,71.45,69.1%
cpu_bound,fcfs,context_switches,1996.75,4.76,1998.40,1.62,65.9%
cpu_bound,fcfs,jain_slowdown_pct,84.23,0.17,84.18,0.05,67.9%
cpu_bound,rr,mean_turnaround,72641.57,273.81,72641.09,88.17,67.8%
cpu_bound,rr,context_switches,20714.96,56.06,20717.28,18.26,67.4%
cpu_bound,rr,jain_slowdown_pct,96.29,0.03,96.29,0.01,69.6%
cpu_bound,prioridade,mean_turnaround,41199.79,145.16,41158.76,45.78,68.5%
cpu_bound,prioridade,context_switches,1996.75,4.76,1998.40,1.62,65.9%
cpu_bound,prioridade,jain_slowdown_pct,54.80,0.23,54.84,0.07,67.0%
cpu_bound,proprio,mean_turnaround,49192.65,233.19,49194.68,71.58,69.3%
cpu_bound,proprio,context_switches,1996.75,4.76,1998.40,1.62,65.9%
cpu_bound,proprio,jain_slowdown_pct,84.27,0.17,84.23,0.05,68.6%
cpu_bound,sjf,mean_turnaround,48511.26,226.18,48486.01,68.93,69.5%
cpu_bound,sjf,context_switches,1996.75,4.76,1998.40,1.62,65.9%
cpu_bound,sjf,jain_slowdown_pct,85.92,0.19,85.87,0.06,69.3%
prioridades_desbalanceadas,fcfs,mean_turnaround,26120.46,151.40,26094.38,54.01,64.3%
prioridades_desbalanceadas,fcfs,context_switches,3508.79,12.12,3504.01,4.28,64.7%
prioridades_desbalanceadas,fcfs,jain_slowdown_pct,70.52,0.37,70.89,0.12,66.7%
prioridades_desbalanceadas,rr,mean_turnaround,33841.36,177.99,33808.46,63.25,64.5%
prioridades_desbalanceadas,rr,context_switches,12272.37,43.92,12265.98,15.64,64.4%
prioridades_desbalanceadas,rr,jain_slowdown_pct,81.09,0.11,81.19,0.04,66.9%
prioridades_desbalanceadas,prioridade,mean_turnaround,23596.96,105.69,23557.91,39.72,62.4%
prioridades_desbalanceadas,prioridade,context_switches,3508.79,12.12,3504.01,4.28,64.7%
prioridades_desbalanceadas,prioridade,jain_slowdown_pct,30.65,0.28,30.62,0.09,68.1%
prioridades_desbalanceadas,proprio,mean_turnaround,26120.99,150.94,26095.25,54.02,64.2%
prioridades_desbalanceadas,proprio,context_switches,3508.79,12.12,3504.01,4.28,64.7%
prioridades_desbalanceadas,proprio,jain_slowdown_pct,70.58,0.37,70.94,0.12,66.6%
prioridades_desbalanceadas,sjf,mean_turnaround,24857.49,124.77,24828.21,46.77,62.5%
prioridades_desbalanceadas,sjf,context_switches,3507.96,12.13,3503.19,4.28,64.7%
prioridades_desbalanceadas,sjf,jain_slowdown_pct,59.23,0.35,59.50,0.12,65.4%
